Title,Category,Price,Rating,Availability,Description,UPC,Number_of_Reviews,Product_URL
Playing with Fire,Mystery,£13.71,Three,In stock,"A beautiful violinist is haunted by a very old piece of music she finds in a strange antique shop in Rome.The first time Julia Ansdell picks up The Incendio Waltz, she knows it’s a strikingly unusual composition. But while playing the piece, Julia blacks out and awakens to find her young daughter implicated in acts of surprising violence. And when she travels to Venice to A beautiful violinist is haunted by a very old piece of music she finds in a strange antique shop in Rome.The first time Julia Ansdell picks up The Incendio Waltz, she knows it’s a strikingly unusual composition. But while playing the piece, Julia blacks out and awakens to find her young daughter implicated in acts of surprising violence. And when she travels to Venice to find the previous owner of the music, she uncovers a dark secret that involves dangerously powerful people—a family who would stop at nothing to keep Julia from bringing the truth to light. ...more",05a61a3bd8ca4149,0,https://books.toscrape.com/catalogue/playing-with-fire_602/index.html
Sleeping Giants (Themis Files #1),Science Fiction,£48.74,One,In stock,"A page-turning debut in the tradition of Michael Crichton, World War Z, and The Martian, Sleeping Giants is a thriller fueled by an earthshaking mystery—and a fight to control a gargantuan power.A girl named Rose is riding her new bike near her home in Deadwood, South Dakota, when she falls through the earth. She wakes up at the bottom of a square hole, its walls glowing w A page-turning debut in the tradition of Michael Crichton, World War Z, and The Martian, Sleeping Giants is a thriller fueled by an earthshaking mystery—and a fight to control a gargantuan power.A girl named Rose is riding her new bike near her home in Deadwood, South Dakota, when she falls through the earth. She wakes up at the bottom of a square hole, its walls glowing with intricate carvings. But the firemen who come to save her peer down upon something even stranger: a little girl in the palm of a giant metal hand.Seventeen years later, the mystery of the bizarre artifact remains unsolved—its origins, architects, and purpose unknown. Its carbon dating defies belief; military reports are redacted; theories are floated, then rejected.But some can never stop searching for answers.Rose Franklin is now a highly trained physicist leading a top secret team to crack the hand’s code. And along with her colleagues, she is being interviewed by a nameless interrogator whose power and purview are as enigmatic as the provenance of the relic. What’s clear is that Rose and her compatriots are on the edge of unraveling history’s most perplexing discovery—and figuring out what it portends for humanity. But once the pieces of the puzzle are in place, will the result prove to be an instrument of lasting peace or a weapon of mass destruction? ...more",f435aa99d864077d,0,https://books.toscrape.com/catalogue/sleeping-giants-themis-files-1_604/index.html
"Setting the World on Fire: The Brief, Astonishing Life of St. Catherine of Siena",Biography,£21.15,Two,In stock,"One of only two patron saints of Italy, the other being St. Francis of Assisi, St. Catherine was ahead of her time. As a political powerhouse in late 14th century Europe, a time of war, social unrest and one of the worst natural disasters of all time--the plague, she worked for peace between Christians while campaigning for a holy crusade against Muslims. She was illiterat One of only two patron saints of Italy, the other being St. Francis of Assisi, St. Catherine was ahead of her time. As a political powerhouse in late 14th century Europe, a time of war, social unrest and one of the worst natural disasters of all time--the plague, she worked for peace between Christians while campaigning for a holy crusade against Muslims. She was illiterate but grew into a great writer by dictating to assistants. She was frail and punished herself mercilessly, often starving herself, while offering moral guidance and inspiration to kings, queens and popes.It's easy to see why feminists through the years have sought to claim the patronage of St. Catherine. From her refusal to marry to her assertion that her physical appearance was of no importance, the famous Saint is ripe for modern interpretation. She was a peacemaker during Siena's revolution of 1368, sometimes addressing thousands of people in squares and streets; she convinced Pope Gregory XI to return the papacy to Rome at a time when the Catholic Church was unraveling.How did this girl, the second-youngest of 25 children of a middle-class dyer, grow to become one of the most beloved spiritual figures of all time, a theological giant to rank alongside the likes of Thomas Aquinas? InSetting the World on Fire, Emling gives an intimate portrayal of this fascinating and revolutionary woman. ...more",b06599b108e83f98,0,https://books.toscrape.com/catalogue/setting-the-world-on-fire-the-brief-astonishing-life-of-st-catherine-of-siena_603/index.html
"A la Mode: 120 Recipes in 60 Pairings: Pies, Tarts, Cakes, Crisps, and More Topped with Ice Cream, Gelato, Frozen Custard, and More",Food and Drink,£38.77,One,In stock,"Are you ready to take your baking over the top? Here are sixty decadent and delightful ice creams and the sixty desserts that are their vehicles. A la Mode offers not just solid dessert recipes, from raspberry oat bars to bear claws, from chocolate pecan pie to a white chocolate pavlova, but also gives you the unforgettable pairings that make these desserts smash hits: app Are you ready to take your baking over the top? Here are sixty decadent and delightful ice creams and the sixty desserts that are their vehicles. A la Mode offers not just solid dessert recipes, from raspberry oat bars to bear claws, from chocolate pecan pie to a white chocolate pavlova, but also gives you the unforgettable pairings that make these desserts smash hits: apple cranberry pie with Camembert ice cream, chocolate sheet cake with salt caramel frozen custard, and espresso cream jelly roll with mascarpone ice cream.Let's face it: vanilla can sometimes be so... vanilla. A great a-la-mode pairing should be as decadent as finding the perfect wine to go with your cheese plate. With A la Mode, IACP winners and cookbook dynamos Bruce Weinstein and Mark Scarbrough show you how to create innovative delights such as creamy hazelnut gelato atop coffee-poached pears, or maple frozen custard with a mouthwatering cinnamon roll cake, alongside simpler classics like confetti ice cream with layered vanilla birthday cake. You haven't lived until you've had peanut brittle pie with popcorn ice cream, a Cracker Jack fantasy!Because what's a warm pie without ice cream? With A la Mode, you'll have to answer that question! ...more",a4eef523118805ef,0,https://books.toscrape.com/catalogue/a-la-mode-120-recipes-in-60-pairings-pies-tarts-cakes-crisps-and-more-topped-with-ice-cream-gelato-frozen-custard-and-more_611/index.html
Troublemaker: Surviving Hollywood and Scientology,Default,£48.39,Two,In stock,"The outspoken actress, talk show host, and reality television star offers up a no-holds-barred memoir, including an eye-opening insider account of her tumultuous and heart-wrenching thirty-year-plus association with the Church of Scientology.Leah Remini has never been the type to hold her tongue. That willingness to speak her mind, stand her ground, and rattle the occasion The outspoken actress, talk show host, and reality television star offers up a no-holds-barred memoir, including an eye-opening insider account of her tumultuous and heart-wrenching thirty-year-plus association with the Church of Scientology.Leah Remini has never been the type to hold her tongue. That willingness to speak her mind, stand her ground, and rattle the occasional cage has enabled this tough-talking girl from Brooklyn to forge an enduring and successful career in Hollywood. But being a troublemaker has come at a cost.That was never more evident than in 2013, when Remini loudly and publicly broke with the Church of Scientology. Now, in this frank, funny, poignant memoir, the former King of Queens star opens up about that experience for the first time, revealing the in-depth details of her painful split with the church and its controversial practices.Indoctrinated into the church as a child while living with her mother and sister in New York, Remini eventually moved to Los Angeles, where her dreams of becoming an actress and advancing Scientology’s causes grew increasingly intertwined. As an adult, she found the success she’d worked so hard for, and with it a prominent place in the hierarchy of celebrity Scientologists alongside people such as Tom Cruise, Scientology’s most high-profile adherent. Remini spent time directly with Cruise and was included among the guests at his 2006 wedding to Katie Holmes.But when she began to raise questions about some of the church’s actions, she found herself a target. In the end, she was declared by the church to be a threat to their organization and therefore a “Suppressive Person,” and as a result, all of her fellow parishioners—including members of her own family—were told to disconnect from her. Forever.Bold, brash, and bravely confessional, Troublemaker chronicles Leah Remini’s remarkable journey toward emotional and spiritual freedom, both for herself and for her family. This is a memoir designed to reveal the hard-won truths of a life lived honestly—from an author unafraid of the consequences. ...more",515cb8fcafb1ad98,0,https://books.toscrape.com/catalogue/troublemaker-surviving-hollywood-and-scientology_610/index.html
Take Me Home Tonight (Rock Star Romance #3),Romance,£53.98,Three,In stock,"A rocker gets a taste of unexpected passion in the latest red-hot Rock Star Romance from the award-winning author of I Want You to Want Me. Calix Bourbon might seem like a free spirit, but that’s all a front. In reality he’s just trying to keep his fractured family together while working as a session musician. When Blue Fire hires him to replace their keyboardist, Calix i A rocker gets a taste of unexpected passion in the latest red-hot Rock Star Romance from the award-winning author of I Want You to Want Me.   Calix Bourbon might seem like a free spirit, but that’s all a front. In reality he’s just trying to keep his fractured family together while working as a session musician. When Blue Fire hires him to replace their keyboardist, Calix is determined to make the most of the opportunity—but he can’t help being distracted by the band’s sexy personal chef.   Mimi’s temporary gig is great, but she has her heart set on auditioning for a televised cooking show. There’s just one problem: she only has a week to acquire the skills necessary to survive the competition. Luckily, the band’s new keyboard player can teach her exactly what she needs, in the kitchen and in the bedroom... ...more",cf62fa272b5f0fa3,0,https://books.toscrape.com/catalogue/take-me-home-tonight-rock-star-romance-3_605/index.html
The Art of Startup Fundraising,Business,£21.00,Three,In stock,"The Art of Startup Fundraising takes a fresh look at raising money for startups, with a focus on the changing face of startup finance. New regulations are making the old go-to advice less relevant, as startup money is increasingly moving online. These new waters are all but uncharted—and founders need an accessible guide. This book helps you navigate the online world of st The Art of Startup Fundraising takes a fresh look at raising money for startups, with a focus on the changing face of startup finance. New regulations are making the old go-to advice less relevant, as startup money is increasingly moving online. These new waters are all but uncharted—and founders need an accessible guide. This book helps you navigate the online world of startup fundraising with easy-to-follow explanations and expert perspective on the new digital world of finance. You'll find tips and tricks on raising money and investing in startups from early stage to growth stage, and develop a clear strategy based on the new realities surrounding today's startup landscape.The finance world is in a massive state of flux. Changes are occurring at an increasing pace in all sectors, but few more intensely than the startup sphere. When the paradigm changes, your processes must change with it. This book shows you how startup funding works, with expert coaching toward the new rules on the field.-Learn how the JOBS Act impacts the fundraising model-Gain insight on startups from early stage to growth stage-Find the money you need to get your venture going-Craft your pitch and optimize the strategy-Build momentum-Identify the right investors-Avoid the common mistakesDon't rely on the ""how we did it"" tales from superstar startups, as these stories are unique and applied to exceptional scenarios. The game has changed, and playing by the old rules only gets you left behind. Whether you're founding a startup or looking to invest, The Art of Startup Fundraising provides the up-to-the-minute guidance you need.PRAISE FOR THE ART OF STARTUP FUNDRAISING:“The Art of Startup Fundraising is a must read for anyone who even considers starting a business. Fundraising is hard. This book gives you the roadmap to get where you are going. Alejandro Cremades speaks with wisdom and from experience.“ - Tim Draper , Founder of Draper Associates, DFJ, and Draper University.""The Art of Startup Fundraising should be a mandatory reading for entrepreneurs that are looking to raise capital. This book will enable Alejandro to help many more early stage companies answer the tough questions when fundraising."" - Marco Landi, Former Chief Operating Officer at Apple and Chairman at Atlantis Ventures""Raising capital is often the most daunting and least understood aspects of starting a new business and there are few people more experienced than Alejandro Cremades to act as a guide. The Art of Startup Fundraising unlocks key secrets of fundraising for newly minted entrepreneurs."" - Jeff Stibel, Chairman of BrainGate, Inc. and Vice Chairman of Dun & Bradstreet, Inc.; New York Times bestselling author of Breakpoint and Wired for Thought.""This book provides a clear, concise tour of the fundraising game. With his crowdfunding and entrepreneurial expertise in full display, Cremades does a terrific job making a complicated process simple and accessible."" - Jeff Bussgang, General Partner at Flybridge Capital Partners and Senior Lecturer at Harvard Business School“Entrepreneurs need to be amazing at recruiting, selling and fundraising. The Art of Startup Fundraising provides the essential toolkit for mastering a core skill for any entrepreneur.” - Gil Penchina, serial entrepreneur and prolific angel investor“For many entrepreneurs finding the right investor for their venture can be a daunting task. Alejandro's experience with equity crowdfunding gives a unique perspective on the fundraising game. The Art of Startup Fundraising is very insightful for entrepreneurs looking to close a round of financing and changing the world.” - Anyndya Ghose, Professor at NYU Stern School of Business“There is no perfect approach to raising investment for a startup, but there is a certain tribal knowledge out there, that most of us had to learn through several failed attempts. The Art of Startup Fundraising captures every bit of advice (and then some!) that I would give to any entrepreneur looking for funding.” - Paul Murphy, Partner at Betaworks and CoFounder of Playdots“Alejandro's The Art of Startup Fundraising is a must read for any entrepreneur. Clear and concise, he outlines in today's startup community the steps to successfully fundraise. This is the golden era for entrepreneurs, any good idea with proof of concept can get access to money. Know your options!” - Angelo J. Robles, Founder and CEO of Family Office Association“It doesn't matter how great of a business you can build. If you can't raise money, you're toast. Master this book.” - Ilya Pozin, Forbes Contributor and CoFounder of Pluto TV and CoFounder of Coplex""The Art of Startup Fundraising translates art into science. By sharing proven formulas, strategies, and case studies that work, Alejandro Cremades provides a needed service to future entrepreneurs."" - Josh Cohen, Managing Partner at City Light Capital“This ought to be a reading requirement for all entrepreneurs when building a business and raising capital. This is a very well written and informative book, written by a man who is a testament to dedication and creativity when confronted with the challenges of being an entrepreneur and raising capital.” - Carter Caldwell, serial entrepreneur and Principal at Cross Atlantic Capital Partners“Alejandro is on the bleeding edge of equity crowdfunding today. When he talks about fundraising, startups listen.” - Andrew Ackerman, Managing Director at Dreamit Ventures“Raising capital can be tough. Alejandro provides a step-by-step guidebook to all entrepreneurs that rather spend their time thinking about changing the world instead of thinking of how to raise funds.” - Tobias P. Schirmer, Managing Partner of JOIN Capital ""A superb book on fundraising. Alejandro's guidance should arm entrepreneurs with the necessary tools to close with success a meaningful round of financing."" - Ellen Weber, Executive Director at Robin Hood Ventures“The Art of Startup Fundraising is a practical and comprehensive resource for entrepreneurs to use again and again. It captures what startups need to do to be successful in the rapidly evolving financing world, while also providing tips on the fundamentals of building businesses that don’t change over time.” - Marianne Hudson, Executive Director at Angel Capital Association“Raising money is hard. But start-up founders all over the world can make it exponentially easier by educating themselves on the process of raising equity capital before they dive into it. The practical, hands-on advice from Alejandro Cremades in this book provides a solid foundation in that self-education process. Delivered in an approachable format with a key lesson to take-away every few pages, “The Art of Startup Fundraising” is essential reading for entrepreneurs everywhere.” - Allen Taylor, Managing Director at Endeavor ...more",1c584f82a7a1c4f0,0,https://books.toscrape.com/catalogue/the-art-of-startup-fundraising_606/index.html
Dress Your Family in Corduroy and Denim,Humor,£43.68,Three,In stock,"David Sedaris returns to his deliriously twisted domain: hilarious childhood dramas infused with melancholy; the gulf of misunderstanding that exists between people of different nations or members of the same family; and the poignant divide between one's best hopes and most common deeds. The family characters his readers love are all here, as well as the unique terrain the David Sedaris returns to his deliriously twisted domain: hilarious childhood dramas infused with melancholy; the gulf of misunderstanding that exists between people of different nations or members of the same family; and the poignant divide between one's best hopes and most common deeds. The family characters his readers love are all here, as well as the unique terrain they inhabit, strewn with comic landmines. 'The Rooster' is back, and getting married in the funniest wedding ever described. David attends a slumber party and gets the upper hand in a unique version of strip poker. 'Rubber or plastic?' The strangest questions can tear people apart. A skinny guy from Spain, wearing a bishop's hat and accompanied by six to eight men, invades your house and pretends to kick you. Is this any way to spend Christmas? With this new book, Sedaris's prose reaches breathtaking new heights and marks off a territory that is unmistakably his own. Read it and weep tears of humane laughter. ...more",7e9068872228c474,0,https://books.toscrape.com/catalogue/dress-your-family-in-corduroy-and-denim_562/index.html
Don't Forget Steven,Young Adult,£33.23,One,In stock,"By the author of Ruby, Between the Cracks, a winner of the Top Ten Best Books for Teens 2015 award, this unflinching look at Steven's life will stick with you long after you put it down.He never told what went on behind closed doors. But this time, he can’t remember.Things never have been easy for Steven. He accepts that, and just makes the best of things. He might not hav By the author of Ruby, Between the Cracks, a winner of the Top Ten Best Books for Teens 2015 award, this unflinching look at Steven's life will stick with you long after you put it down.He never told what went on behind closed doors. But this time, he can’t remember.Things never have been easy for Steven. He accepts that, and just makes the best of things. He might not have parents or a happy home. Or enough to eat most days. But at least he has a couple of loyal friends who stand by him and help out when they can. At least he has school, someplace he can go to escape the abuse.But just when he thought things couldn't get much worse, they did.Steven is accused of murder. But that isn't the worst part. The really bad part is not even knowing if he did . ...more",e845d305f64154f1,0,https://books.toscrape.com/catalogue/dont-forget-steven_561/index.html
"Fruits Basket, Vol. 9 (Fruits Basket #9)",Sequential Art,£33.95,Four,In stock,"Finally - summer has arrived! While Tohru struggles through bipolar days of hope and anxiety, what will happen when Yuki comes face-to-face with the new member of the student council? Meanwhile, who is that Uo-chan's hanging out with? Is she c-r-a-z-y in love? In a bonus feature, Hana-chan's past is finally disclosed!",97187f5cf0385da3,0,https://books.toscrape.com/catalogue/fruits-basket-vol-9-fruits-basket-9_563/index.html
